time;rightWheelsPower;leftWheelsPower;grabPosition;collectorPosition;bigArmPower;littleArmPosition;littleArmPower;bigArmPosition
0.022595711;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.060642756;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.072748966;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.083104592;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.095313176;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.105213511;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.11632922;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.126574596;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.144897973;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.155251266;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.1647806;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.174064059;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.182856644;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.191688603;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.200332729;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.209065521;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.218037189;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.226813148;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.236137732;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.24496065;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.253679442;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.262337277;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.271254694;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.280009653;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.289404238;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.298466322;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.30790524;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.317534907;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.327112366;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.336481284;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.34619641;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.355313619;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.364485662;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.373690663;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.383037122;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.396432498;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.406023374;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.416082084;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.425678793;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.435038669;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.44422967;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.453757546;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.463060255;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.472479631;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.481781757;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.492543675;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.502085551;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.511355302;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.520415344;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.529889262;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.546306305;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.565614057;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.575066391;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.584301726;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.593780602;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.602337519;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.611518603;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.620129771;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.628914188;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.639374523;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.653285858;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.662559983;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.67450636;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
0.684592194;0.0;0.0;CLOSED;OPENED;0.06;OTHER;0.05;OTHER
